Address:,"% of the total number of Issued Shares/ Warrants/ Units:","Name of CCASS Participant (* for Consenting Investor Participants ):",Shareholding:,"Participant ID:"
"23/F GUANGDONG FINANCE BUILDING 88 CONNAUGHT ROAD WEST HONG KONG","0.00%","SINCERE SECURITIES LTD","95,350",B01427
"11/F NEW WORLD TOWER II 16-18 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","PACIFIC FOUNDATION SECURITIES LTD","90,094",B01230
"UNIT B 16/F WINBASE CENTRE 208 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","WAH SANG SECURITIES LTD","89,838",B01712
"21/F CENTRE POINT 181-185 GLOUCESTER ROAD WANCHAI HONG KONG","0.00%","CIS SECURITIES ASSET MANAGEMENT LTD","84,000",B01849
"ROOM 801-804 HALESON BUILDING 1 JUBILEE STREET CENTRAL HONG KONG","0.00%","TAI SHING STOCK INVESTMENT CO LTD","81,436",B01676
"28/F SIU ON CENTRE 188 LOCKHART ROAD WANCHAI HONG KONG","0.00%","YUE XIU SECURITIES CO LTD","81,035",B01551
"26/F SUPREME COMMERCIAL BUILDING 368 KING'S ROAD NORTH POINT HONG KONG","0.00%","WIN WONG SECURITIES LTD","79,451",B01407
"UNITS 2401-2403 24/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","CAITONG INTERNATIONAL SECURITIES CO LTD","72,000",B01948
"LEVEL 7 28 HENNESSY ROAD WANCHAI HONG KONG","0.00%","RIFA SECURITIES LTD","71,484",B01173
"FLAT A & B 7/F NGAN HOUSE 210 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","TANG KEE SECURITIES LTD","70,864",B01749
"UNIT 6708A LEVEL 67 INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON","0.00%","CENTRAL WEALTH SECURITIES INVESTMENT LTD","70,171",B01897
"RM 1003 10/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","FIRST WORLDSEC SECURITIES LTD","66,118",B01372
"UNIT 408-409 4/F FORTRESS TOWER 250 KING'S ROAD FORTRESS HILL HONG KONG","0.00%","CORPORATE BROKERS LTD","62,977",B01252
"8/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG","0.00%","HONG KONG SECURITIES CLEARING CO. LTD.","60,352",
"ROOM 1201-02 12/F TUNG HIP COMMERCIAL BUILDING 252 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","CHINA SYSTEM SECURITIES LTD","60,000",B01809
"1/F-2/F PINNACLE BUILDING 9 SHIP STREET WANCHAI HONG KONG","0.00%","SPS SECURITIES LTD","57,317",B01290
"LEVEL 26 ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG","0.00%","DAIWA CAPITAL MARKETS HONG KONG LTD","57,000",B01777
"11/F DUKE WELLINGTON BLDG 14-24 WELLINGTON ST CENTRAL HONG KONG","0.00%","HIP HING SECURITIES LTD","56,768",B01428
"UNIT A 16/F & UNIT A 17/F TWO PACIFIC PLACE 88 QUEENSWAY HONG KONG","0.00%","HUARONG INTERNATIONAL SECURITIES LTD","55,079",B01563
"16/F ONE ISLAND EAST 18 WESTLANDS ROAD ISLAND EAST HONG KONG","0.00%","DBS VICKERS (HONG KONG) LTD","53,872",B01762
"2/F CHEONG K. BUILDING 84-86 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","ONE CHINA SECURITIES LTD","51,106",B01769
"17/F THREE EXCHANGE SQUARE 8 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG","0.00%","GUOYUAN SECURITIES BROKERAGE (HONG KONG)","51,000",B01825
"UNITS 1A&B, 2C & 6A KO'S HOUSE 577 NATHAN ROAD MONGKOK KOWLOON","0.00%","KO'S BROTHER SECURITIES CO LTD","49,028",B01761
"RM 2501 25/F AIA TOWER 183 ELECTRIC ROAD NORTH POINT HONG KONG","0.00%","MONEX BOOM SECURITIES (H.K.) LTD","46,236",B02132
"19/F UNIT A&B UNITED CENTRE 95 QUEENSWAY HONG KONG","0.00%","HING WONG SECURITIES LTD","44,590",B01123
"6/F CENTRE POINT 181-185 GLOUCESTER ROAD WANCHAI HONG KONG","0.00%","VC BROKERAGE LTD","43,884",B01416
"12/F SOUTH CHINA BUILDING 1-3 WYNDHAM STREET CENTRAL HONG KONG","0.00%","HANTEC SECURITIES CO LTD","43,482",B01696
"FLAT B 19/F GUANGDONG INVESTMENT BUILDING 148 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG","0.00%","CEPA ALLIANCE SECURITIES LTD","41,882",B01743
"5/F & 6/F MALAHON CENTRE 10-12 STANLEY STREET CENTRAL HONG KONG","0.00%","MALAHON SECURITIES LTD","41,231",B01213
"UNIT 1007 10/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG","0.00%","LEHIN SECURITIES LTD","38,056",B01340
"RM 2001-2006 COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","SANFULL SECURITIES LTD","37,835",B01275
"RM 1402 FORTIS BANK TOWER 77-79 GLOUCESTER ROAD WANCHAI HONG KONG","0.00%","WINFULL SECURITIES LTD","35,190",B01267
"SUITE 2701 27/F PROSPERITY TOWER 39 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","CHRISTFUND SECURITIES LTD","35,034",B01373
"7/F HARBOUR COMMERCIAL BUILDING 122-124 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG","0.00%","GOOD HARVEST SECURITIES CO LTD","30,378",B01519
